SEASON_ID,Player_ID,Game_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
201415,203500.0,0021400584,L,15.0,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,-19.0
201415,203500.0,0021400542,W,22.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,10.0
201415,203500.0,0021400532,L,15.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.0,1.0,5.0,1.0,0.0,1.0,1.0,3.0,3.0,-8.0
201415,203500.0,0021400518,L,21.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,2.0,7.0,9.0,1.0,1.0,1.0,0.0,2.0,10.0,-10.0
201415,203500.0,0021400489,W,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0
201415,203500.0,0021400480,W,28.0,3.0,7.0,0.429,0.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,5.0,9.0,-2.0
201415,203500.0,0021400455,L,25.0,4.0,8.0,0.5,0.0,0.0,0.0,3.0,5.0,0.6,2.0,4.0,6.0,2.0,0.0,1.0,0.0,4.0,11.0,-7.0
201415,203500.0,0021400438,W,25.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,2.0,7.0,9.0,1.0,0.0,2.0,1.0,3.0,5.0,16.0
201415,203500.0,0021400428,W,31.0,5.0,8.0,0.625,0.0,0.0,0.0,6.0,12.0,0.5,7.0,8.0,15.0,1.0,2.0,3.0,2.0,4.0,16.0,27.0
201415,203500.0,0021400424,L,23.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,4.0,7.0,11.0,0.0,0.0,1.0,1.0,3.0,7.0,1.0
